id,title,audience,desc,revenue,stakeholders,daily,investment,mbti,mbti_why,image,marketing,content,margins,supplies
1,Online Thrift Shop,"Eco-conscious millennials seeking unique, affordable fashion finds.","Want to start a business that's both stylish and sustainable? An online thrift shop is a great idea! Sell gently used clothes, accessories, and home decor online.",Sell thrift items on your platform and earn a profit. Partner with Indian brands. Offer styling services.,"Local thrift stores, wholesale suppliers. Courier services. Support staff.","Finding and curating second-hand items. Creating website and social media. Marketing through Instagram, Facebook.",Initial stock of thrifted items. Website development and maintenance. Influencer marketing.,ISTP,ISTPs are practical problem-solvers who enjoy working with tangible objects.,https://i.spread.name/fe8fe7d6-318a-4510-aa07-5d2895563739_bizlite-example-posts-first-set-white.png,Leverage Instagram and Pinterest. Create style guides. Host flash sales. Collaborate with eco-conscious influencers. Customer reviews and UGC.,"Lookbooks, style guides, thrift haul videos, before-and-after transformations.",25-40% gross margin on resold items,"Second-hand clothing from thrift stores, garage sales, online marketplaces"
2,Driving Instructor,Anxious new drivers and rusty adults seeking confidence behind the wheel.,Have a passion to teach real-life skills to others? Use your driving skills and help people learn to drive safely.,Hourly or package-based driving lessons. Refresher courses. Partnering with driving schools for referrals.,Local transport authorities for certification. Local driving community. Car dealerships.,Lesson planning. Scheduling. Practical lessons. Vehicle maintenance.,Vehicle with dual controls. Licensing and certification. Insurance. Dashboard camera.,ISTJ,"ISTJs are detail-oriented, patient, and good at following and enforcing rules.",https://i.spread.name/7955275a-bcde-4735-acc9-e5b9ba6de8a9_driving.png,Online reviews and word-of-mouth. Social media ads. Referral program. Partner with automotive companies. YouTube channel.,"Driving tips, road safety content, student success stories.",60-70% margin after fuel and insurance costs,"Dual-control vehicle, dashcam, lesson plan materials"
3,Plant-Based Food Delivery,"Health-conscious urbanites seeking convenient, eco-friendly nutrition solutions.",Are you passionate about healthy eating and plant-based cuisine? Start a plant-based food delivery service catering to busy professionals and health-conscious individuals.,Meal subscriptions or one-time orders. Partnerships with gyms and yoga studios. Catering for events.,Local farmers or suppliers for fresh produce. Chefs experienced in plant-based cuisine.,Menu planning. Ingredient sourcing. Meal preparation. Packaging and delivery. Marketing.,Commercial kitchen space or cloud kitchen. Marketing budget and online ordering platform. Licenses.,INFJ,"INFJs have strong values and desire to make a positive impact. They can develop unique, healthy menus.",https://i.spread.name/bb82e271-cace-4b83-9dff-3639c160dd0e_3.png,Social media presence. Content marketing. Influencer collaborations. Local events. Referral programs.,"Recipe videos, nutrition tips, behind-the-scenes kitchen content, customer stories.",30-50% margin depending on ingredient costs and pricing,"Fresh organic produce from Azadpur Mandi, INA Market; packaging materials"
4,Social Media Marketing Agency,Small to medium-sized businesses seeking digital growth and brand visibility.,Are you a social media enthusiast? Start a social media marketing agency. Indian businesses are increasingly recognizing the importance of social media presence.,Monthly retainer fees for ongoing management. Project-based fees. Training and workshop services.,Businesses and entrepreneurs needing social media services. Influencers for collaborations.,Developing social media strategies. Creating engaging content. Managing social media campaigns. Staying updated on trends.,Team of skilled social media professionals. Marketing software and tools. Strong online presence.,ENFP,"ENFPs are creative, enthusiastic, and great at understanding and connecting with people.",https://i.spread.name/846149bc-3cb4-4a6e-ab4d-f9594dcda848_4.png,Portfolio development. Networking. Social media presence. Referral programs. Content marketing.,"Marketing tips, case studies, industry insights, social media trend reports.",40-60% margin on retainer clients,"Social media management tools, design software, analytics platforms"
5,Custom Gifting Store,"Thoughtful gift-givers seeking unique, personalized presents for special occasions.","Want to help people express their emotions through unique gifts? Start a custom gifting store offering personalized photo albums, engraved items, and accessories.",Sales of customized gifts. Bulk orders for corporate gifting. Online sales.,Suppliers for raw materials and printing services. Local businesses for corporate gifting.,Designing and creating unique gift ideas. Building online presence. Ensuring timely delivery.,Design software and printing equipment. Marketing budget. Skilled designers.,ESFJ,"ESFJs are attuned to others' needs and feelings, making them excellent at selecting personalized gifts.",https://i.spread.name/f9beec48-be9e-4b93-b504-0756bc20a5c3_5.png,Social media campaigns. Influencer partnerships. Seasonal promotions. Email marketing. Corporate gifting packages.,"Gift idea guides, personalization tutorials, customer unboxing videos.",50-100% markup on personalized items,"Printing equipment, blank products, customization materials"
6,Crockery Store,Style-conscious homemakers and entertainers seeking quality tableware.,"Have you considered starting a crockery store? With the rise of home decor and entertaining, offer products from casual dinnerware to formal table settings.",Sales of crockery products. Personalized services like monogramming. Partnering with event planners.,"Suppliers, local businesses for corporate gifting.",Stock management. Customer service. Order fulfillment. Supplier relations.,Initial inventory. Store fixtures. POS system.,ESTJ,"ESTJs are practical, organized, and good at managing details.",https://i.spread.name/6ac499b8-792f-44f0-9f44-2c0495efed1f_6.png,Social media showcasing. Collaborate with influencers. Seasonal sales. Corporate gifting. Work with event planners.,"Table setting guides, home decor inspiration, product unboxings.",50-150% markup depending on category,"Ceramic, porcelain, glass tableware from wholesalers"
7,Home Decor Brand,Style-savvy homeowners seeking to express personality through curated living spaces.,Want to help people turn their houses into homes? Start a home decor brand offering products that reflect personalities.,Sales online and offline. Custom design and consulting services. Collaborations with interior designers.,Suppliers for raw materials and manufacturing. Interior designers for collaborations.,Designing and sourcing products. Building brand and online presence. Marketing.,Design team. Manufacturing facilities. Marketing budget.,ISFP,"ISFPs have a strong aesthetic sense and enjoy creating beautiful, harmonious environments.",https://i.spread.name/3e5d86d5-e709-476e-8b08-da6e62b98a38_7.png,Social media campaigns. Collaborate with influencers. Host flash sales. Partner with interior designers.,"Home styling tips, before-and-after transformations, product showcase.",40-80% depending on product category,"Raw materials from local manufacturers, artisans"
8,Health & Fitness Coaching,Individuals seeking physical and mental balance through structured coaching.,"Start a health and fitness coaching business providing personalized workout plans, nutritional guidance, and lifestyle advice.",Coaching packages. Group fitness classes. Online programs. Corporate wellness programs.,"Clients seeking personalized fitness guidance. Gyms, fitness studios.",Client assessments. Training sessions. Nutrition coaching. Marketing and client acquisition.,Certification. Home office or gym space. Fitness equipment. Marketing.,ENFJ,ENFJs are natural mentors who enjoy helping others reach their potential.,https://i.spread.name/6c9499eb-fdb4-4d07-b7d2-b556b1e6612c_8.png,Social media. Collaborate with influencers. Free trials. Email marketing. Corporate partnerships.,"Workout videos, nutrition tips, transformation stories, wellness advice.",70-80% margin on coaching services,"Fitness equipment, nutrition tracking apps, video conferencing tools"
9,Event Planning Business,"Time-strapped professionals and couples seeking polished, stress-free event experiences.","Want to help people create unforgettable experiences? Start an event planning business managing weddings, corporate events, birthdays, and product launches.",Planning and execution fees. Commission-based sales for venue bookings. Package deals.,"Venues, caterers, and vendors. Local businesses for corporate events.",Client consultations. Vendor coordination. Budget management. On-site event management.,Event planning software. Website and marketing. Vendor relationships.,ESFP,"ESFPs are outgoing, fun-loving, and great at thinking on their feet.",https://i.spread.name/02e4cbf4-b0dd-41e3-84e0-a3409416ada6_9.png,Social media presence. Partnerships with venues. Referrals. Blogging. Attend industry events.,"Event inspiration, behind-the-scenes planning content, vendor spotlights.",10-20% of event budget,"Event planning software, decor inventory, vendor contacts"
10,Art & Craft Supplies Store,Creative enthusiasts and hobbyists seeking quality supplies to fuel artistic passions.,Want to help artists and crafty people bring their ideas to life? Start an art and craft supplies store offering unique and high-quality art supplies.,Sales of art and craft supplies. Workshops and classes. Online sales.,Suppliers for art and craft materials. Local artists for workshops.,Sourcing unique supplies. Building community of artists. Marketing.,Storefront or online platform. Inventory. Experienced staff.,INFP,"INFPs are creative and imaginative, with a good understanding of artistic needs.",https://i.spread.name/a50be6b4-01b6-4bf0-9774-65de0ac3e49f_10.png,Social media campaigns. Workshops and events. School collaborations. DIY kits. Loyalty programs.,"Art tutorials, supply reviews, creative project ideas, artist spotlights.",40-100% markup on specialty art supplies,"Paints, canvases, brushes, crafting materials from art wholesalers"
