state,district,url,status,youtube_ids,pdf_urls,google_urls
Andaman and Nicobar Islands,Nicobars,,FAILED,"EDM0Fi5pAhY,q8ttL1HN1gk,r3cWoR0EOS0,n5qVUBrrZKA,cBzO3qwfJwE",,"https://www.pib.gov.in/PressReleasePage.aspx?PRID=2248987&reg=3&lang=1|https://indiantradeportal.in/vs.jsp?lang=0&id=0,31,24100,29378|https://www.alliedmarketresearch.com/coconut-products-market|https://www.grandviewresearch.com/industry-analysis/coconut-products-market|https://www.mordorintelligence.com/industry-reports/coconut-products-market"
Andaman and Nicobar Islands,North and Middle Andaman,,FAILED,"oDR4yl-2uV8,5tX4vOAR53k,j6oxkJg2TIw,c9DX4HnOYFk,R2SQeefbTg4",,https://mpeda.gov.in/?page_id=438|http://andssw1.and.nic.in/ecostat/index.php|https://www.ceicdata.com/en/india/fish-production/fish-production-andaman-and-nicobar-islands|https://dof.gov.in/static/uploads/2025/08/b42843af96a988088230c9ab63bf98fb.pdf|https://eprints.cmfri.org.in/17498/
Andaman and Nicobar Islands,South Andamans,,FAILED,"PZGriUgd4PA,aQnkURFqs8c,OdyS4ugBZNY,ZheMXEBezDA,V5PhxuH21W8",,https://www.thehindu.com/features/education/college-and-university/Marine-biology-in-the-Andamans/article12082595.ece|https://www.ppgpmc.com/|https://www.westmarine.com/|https://www.sperrymarine.com/|https://www.mercurymarine.com/us/en
Andhra Pradesh,Alluri Sitarama Raju,,FAILED,"MJK3Olk_9xM,tlEDLwTaxcE,Fh_iFHcyFPw,7NiN2JWKAMQ,_4IONVbW3Ms",,https://www.thehindu.com/news/national/andhra-pradesh/coffee-harvesting-begins-early-in-the-agency-area-of-alluri-sitharama-raju-district-this-year/article67458484.ece|https://timesofindia.indiatimes.com/city/vijayawada/araku-coffee-yield-nears-target-in-asr-district-prices-boost-farmer-morale/articleshow/128391104.cms|https://www.newindianexpress.com/states/andhra-pradesh/2023/oct/16/araku-coffee-for-one-district-one-product-fromalluri-sitarama-raju-2624324.html|https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-government-plans-to-expand-coffee-cultivation-in-additional-1-lakh-acres-in-alluri-sitarama-raju-district/articleshow/119952867.cms
Andhra Pradesh,Anakapalli,https://anakapalli.ap.gov.in,BASE,,,https://www.gitagged.com/online-store/handicraft/wooden-craft/etikoppaka-toys/|https://gaatha.com/story-of-etikoppaka-toys/|https://giheritage.com/products/anakapalli/index/0/3|https://amoghavarshaiaskas.in/etikoppaka-toys/
Andhra Pradesh,Anantapuram (Anantapur),https://ananthapuramu.ap.gov.in/one-district-one-product/,MATCH,"jvQHvz4GlPQ,woYhNanF5YY,c48yah-diCE,XTX4-T-aFyY,NgtLnZu8EVY",,https://angrau.ac.in/downloads/AMIC/OutlookReports/2022/4-Cotton+Outlook+Report+-+January+to+December+2022.pdf|https://angrau.ac.in/downloads/AMIC/COTTON+OUTLOOK+REPORT+-+January+to+May+2021.pdf|https://www.newindianexpress.com/states/andhra-pradesh/2025/Feb/14/anantapur-textile-industry-crisis-looms-due-to-lack-of-support-from-andhra-govt|https://www.fashionatingworld.com/new1-2/anantapur-jeans-industry-in-andhra-pradesh-faces-testing-times|https://citiindia.org/statistics/production-of-major-textile-items/
Andhra Pradesh,Ananthpuram (Anantapur),https://ananthapuramu.ap.gov.in/one-district-one-product/,MATCH,"Y220oUxpVkM,zo3z02OFm0M,n4eGCVFdMiw,vwHUmbj-hqg,4W83MWBdT4Y",,https://bongchong.in/dharmavaram-sarees/|https://isha.sadhguru.org/en/outreach/save-the-weave/indian-weaves/dharmavaram-silk|https://ruralhandmade.com/blog/sourcing-authentic-dharmavaram-silk-a-technical-guide-for|https://www.india.gov.in/explore-india/odop/details/dharmavaram-silk-sarees
Andhra Pradesh,Annamayya (Rayachoty),,FAILED,"A2vIY846-Yg,BHwHDqtc2Kk,jvQHvz4GlPQ,LDYTB0xAf_8,PuQZzekFPwg",,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2206688&reg=3&lang=2|https://citiindia.org/statistics/production-of-major-textile-items/|https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Cotton+and+Products+Annual_New+Delhi_India_04-01-2020
Andhra Pradesh,Bapatla,https://bapatla.ap.gov.in,BASE,"fN3ZEsRpvUw,3GSarusnfaU,tUWEpxyiEPQ,kio9Wrnyxgs,qnxeBPHUuOo",,https://bapatla.ap.gov.in/odop-stone-cutting-and-polish/|https://edurev.in/t/337752/One-District-One-Product-Bapatla-District|https://www.cnbctv18.com/videos/market/commodities/lab-grown-diamond-market-expected-to-double-in-volume-by-2030-19203101.htm|https://www.hubspot.com/state-of-marketing
Andhra Pradesh,Chittoor,https://chittoor.ap.gov.in/one-district-one-product/,MATCH,"CNImOFBoQEI,cl5-eaWGpes,KS-LBX4Zjno,YRD_06Gw8hE,L4FLk_A5Mc0",,https://www.newindianexpress.com/states/andhra-pradesh/2022/aug/08/traders-expect-rs-30-crore-business-with-rise-in-demand-for-venkatagiri-sarees-2485253.html|https://www.newindianexpress.com/states/andhra-pradesh/2021/aug/24/after-covid-lull-business-back-to-normal-at-venkatagiri-saree-market-2349013.html|https://kanchivml.com/weave/venkatagiri-sarees|https://brandmandir.com/shop-by/weave/venkatagiri-sarees
